ID,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,DESCRIPTION_TEXT_LIMIT,SOURCE_CODE,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
5b0f6d7c-d805-4d21-9c12-7abbcef7f815,false,executableProgram,,true,true,,,ZT-IDES-SM-01,PROG/P,STADEL,DE,EC3,IDES Service Managament           Service Orders,active,2016-09-02T20:23:50Z,STADEL,1998-06-23T00:00:00Z,,98976101-cfa8-4c10-82bd-1605e1a00518
d8767d35-072c-4b8f-8ba3-dd52031b0983,false,executableProgram,test,true,true,,,ZT-IDES-SM-02,PROG/P,STADEL,DE,EC3,IDES Service management           General Maintenance Task List,active,2016-09-02T20:23:50Z,STADEL,1998-08-27T00:00:00Z,,98976101-cfa8-4c10-82bd-1605e1a00518
336e11e6-345b-489a-9e42-d17c3c807d1b,false,executableProgram,,true,true,,,ZVSETDAT,PROG/P,DEVENTER,DE,EC3,,active,2005-09-26T20:24:41Z,DEVENTER,1999-02-19T00:00:00Z,,98976101-cfa8-4c10-82bd-1605e1a00518
eec8d1c7-cabb-4f55-a781-2c6ae4130f6e,false,executableProgram,,true,true,,,ZSPRCS_READ_BASMATS,PROG/P,I824853,EN,IDT,Program ZSPRCS_READ_BASMATS,active,2016-09-02T20:23:21Z,I824853,2011-10-25T00:00:00Z,,c5df94d0-e6be-4a66-ad7e-e008daa9ed58
4f92179c-5afd-45e3-b3b5-416a23860879,false,executableProgram,,true,true,,,ZSPRC_EPCDI_RESET_DEMO,PROG/P,I824853,EN,IDT,Reset EPCDI Demo,active,2016-09-02T20:23:21Z,I824853,2011-11-06T00:00:00Z,,c5df94d0-e6be-4a66-ad7e-e008daa9ed58
74fa3c32-7cf5-4f92-a2f7-41b7f758d9f1,false,executableProgram,,true,true,,,ZSPRC_OPEN_MATNR,PROG/P,I824853,EN,IDT,Manage Compliance Details,active,2016-09-02T20:23:21Z,I824853,2011-10-25T00:00:00Z,,c5df94d0-e6be-4a66-ad7e-e008daa9ed58
5912c6d6-d104-452b-9cac-56876013b628,false,executableProgram,,true,true,,,ZR_SRM_TRANSLATIONS_IMPORT,PROG/P,C5166367,EN,EC3,SRM Import,active,2016-09-02T20:22:18Z,C5166367,2012-02-23T00:00:00Z,,04dd74ba-72c2-4105-acca-ce4145f60f5f
50daf417-69eb-4be1-88d7-9e7d00ac33a0,false,executableProgram,,true,true,,,ZR_SRM_TRANS_IMP_PAYMENT_TERMS,PROG/P,C5166367,EN,EC3,Payment Term,active,2016-09-02T20:22:18Z,C5166367,2012-02-23T00:00:00Z,,04dd74ba-72c2-4105-acca-ce4145f60f5f
c02230aa-a05a-42fc-a1e2-b620441d4bbb,false,executableProgram,,true,true,,,ZREC_FM,PROG/P,C5241174,EN,EC3,BDC: FM Recording,active,2016-09-02T20:21:55Z,C5241174,2016-05-05T00:00:00Z,,e19922ac-bc92-4067-a989-8cfdeb5d27c2
cf228dbb-b45d-42ec-babc-d073dacad5e7,false,executableProgram,,true,true,,,ZSKS_PARLLEL_PROC_BDC,PROG/P,C5241174,EN,EC3,Parllel Processing in BDC,active,2016-11-11T09:58:29Z,C5241174,2016-05-05T00:00:00Z,,e19922ac-bc92-4067-a989-8cfdeb5d27c2
