TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,PARENT
ZASSET_ROLES_CORRECT_BC_SETS01,ZASSET_ROLES_CORRECT_BC_SETS01,PROG/P,C5121425,EN,EN,IDT,Report ZASSET_ROLES_CORRECT_BC_SETS01,active,2016-09-02T20:16:29Z,C5121425,2009-02-18T00:00:00Z,,false,executableProgram,,true,true,Root
ZASSET_ROLES_CORRECT_BC_SETS02,ZASSET_ROLES_CORRECT_BC_SETS02,PROG/P,C5121425,EN,EN,IDT,Report ZASSET_ROLES_CORRECT_BC_SETS02,active,2016-09-02T20:16:29Z,C5121425,2009-02-18T00:00:00Z,,false,executableProgram,,true,true,Root
Z_BIT400_SRFC,Z_BIT400_SRFC,PROG/P,RUBARTH,DE,DE,EC3,Programm Z_BIT400_SRFC,active,2016-09-02T20:26:14Z,RUBARTH,2005-04-07T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615,ZZ_BIT615,PROG/P,HOFFMEISTER,DE,DE,TE3,BIT615: Preparation of Training System Customizing,active,2016-09-02T20:26:01Z,HOFFMEISTER,2003-04-16T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_BARCODE,ZZ_BIT615_BARCODE,PROG/P,HOFFMEISTER,DE,DE,TE3,BIT615: instructor program for chapter 3 Barcode,active,2016-09-02T20:26:01Z,HOFFMEISTER,2003-04-16T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_BARCODE_USER,ZZ_BIT615_BARCODE_USER,PROG/P,HOFFMEISTERF,DE,DE,EC3,Programm ZZ_BIT615_BARCODE_USER,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_BELJ00,ZZ_BIT615_BELJ00,PROG/P,HOFFMEISTER,DE,DE,TE3,BIT615: Programmierübung,active,2016-09-02T20:26:02Z,HOFFMEISTER,2003-04-16T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_BELJ00_ATTRIBUTS,ZZ_BIT615_BELJ00_ATTRIBUTS,PROG/P,HOFFMEISTERF,DE,DE,EC3,BIT615:Exercise Solution 1,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_BELJ00_HYPERLINKS,ZZ_BIT615_BELJ00_HYPERLINKS,PROG/P,HOFFMEISTERF,DE,DE,EC3,BIT615: Exercise Solution 2,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_BELJ00_OBJECTLINKS,ZZ_BIT615_BELJ00_OBJECTLINKS,PROG/P,HOFFMEISTERF,DE,DE,EC3,Report ZZ_BIT615_BELJ00_SOLUTION3,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
