ID,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
73c5fbe1-e322-4255-aae8-1101598a3d04,ZT_OAOA_02,SCAT/GT,RENDES,DE,EC3,OAOA FI-AA: Anlagenklassen definieren  4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
db101651-7e84-42b7-9835-707036b6c470,ZT_OAOA_03,SCAT/GT,RENDES,DE,EC3,OAOA FI-AA: Anlagenklassen definieren,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
11e409f4-137a-444c-bb8b-2d17a5cd3dcc,ZT_OAOA_04,SCAT/GT,RENDES,DE,I19,OAOA FI-AA: Anlagenklassen definieren 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
de19eb62-6164-4c4d-84c3-14b53865a554,ZT_OAOB_03,SCAT/GT,BURMANM,DE,F35,OAOB   4.7 Change depreciation plan,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
1a8c1ddd-044c-4615-a631-3512d477fd8f,ZT_OAPL_01,SCAT/GT,RENDES,DE,F35,OAPL C FI-AA: Festlegen Bewertungsplan 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
cf214490-685d-444e-9de6-7c93a9c93d32,ZT_OAYA_01,SCAT/GT,RENDES,DE,I19,OAYA Bewertungsbereiche f. Bewegungsarten 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
68e8cdd8-bafc-490e-a26d-cbfff745c5e4,ZT_OAYZ_03,SCAT/GT,RENDES,DE,EC3,OAYZ Anlagenklasse: Bewertungsbereiche  4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d31a7e16-6779-472c-8fce-e8ca55ce3c29,ZT_OAYZ_04,SCAT/GT,RENDES,DE,EC3,OAYZ Anlagenklasse: Bewertungsbereiche,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
f1e4b77d-5e0e-4c81-9fe3-17bb95f53585,ZT_OAYZ_05,SCAT/GT,RENDES,DE,EC3,OAYZ Anlagenklasse: Bewertungsbereiche 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
9ff06f47-0b73-4f72-bdaf-9a728bae3166,ZT_OAYZ_06,SCAT/GT,RENDES,DE,EC3,OAYZ Anlagenklasse: Bewertungsbereiche 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
