TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY
Y25MARA,Y25MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_25,active,,,,
Y26MARA,Y26MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_26,active,,,,
Y27MARA,Y27MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_27,active,,,,
Y28MARA,Y28MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_28,active,,,,
Y29MARA,Y29MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_29,active,,,,
Y30MARA,Y30MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_30,active,,,,
Y31MARA,Y31MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_31,active,,,,
Z00MARA,Z00MARA,SOBJ/MO,GERSTNER,DE,EN,EC3,BC610: Material,active,,,,
Z01MARA,Z01MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_01,active,,,,
Z02MARA,Z02MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_02,active,,,,
Z03MARA,Z03MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_03,active,,,,
Z04MARA,Z04MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_04,active,,,,
Z05MARA,Z05MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_05,active,,,,
Z06MARA,Z06MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_06,active,,,,
Z07MARA,Z07MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_07,active,,,,
Z08MARA,Z08MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_08,active,,,,
Z09MARA,Z09MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_09,active,,,,
Z10MARA,Z10MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_10,active,,,,
Z11MARA,Z11MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_11,active,,,,
Z12MARA,Z12MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_12,active,,,,
Z13MARA,Z13MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_13,active,,,,
Z14MARA,Z14MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_14,active,,,,
Z15MARA,Z15MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_15,active,,,,
Z16MARA,Z16MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_16,active,,,,
Z17MARA,Z17MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_17,active,,,,
Z18MARA,Z18MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_18,active,,,,
Z19MARA,Z19MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_19,active,,,,
Z20MARA,Z20MARA,SOBJ/MO,BOLLINGER,DE,EN,EC3,BUS1001_Group_20,active,,,,
Z21MARA,Z21MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_21,active,,,,
Z22MARA,Z22MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_22,active,,,,
Z23MARA,Z23MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_23,active,,,,
Z24MARA,Z24MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_24,active,,,,
Z25MARA,Z25MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_25,active,,,,
Z26MARA,Z26MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_26,active,,,,
Z27MARA,Z27MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_27,active,,,,
Z28MARA,Z28MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_28,active,,,,
Z29MARA,Z29MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_29,active,,,,
Z30MARA,Z30MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_30,active,,,,
Z31MARA,Z31MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Group_31,active,,,,
ZIFADK,ZIFADK,SOBJ/MO,GERSTNER,EN,EN,EC3,Archive object via ADK archiving class,active,,,,
ZPLANT00,ZPLANT00,SOBJ/MO,I002676,EN,EN,EC3,BC610: Production Plant,active,,,,
ZRGMARA,ZRGMARA,SOBJ/MO,GERSTNER,EN,EN,EC3,BC610: Extended Material,active,,,,
30900004,30900004,PDTS/MA,GERSTNER,EN,EN,EC3,Z00ChngDoc,active,,,,
