OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
VIEW/DV,/AIN/VPRFELEMENT,/AIN/VPRFELEMENT,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFELEMENT,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFELEMENT,
VIEW/DV,/AIN/VPRFELEMSET,/AIN/VPRFELEMSET,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFELEMSET,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFELEMSET,
TTYP/DA,/AIN/PRF_ATTRVALUE_TAB,/AIN/PRF_ATTRVALUE_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_ATTRVALUE_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_ATTRVALUE_TAB,
TTYP/DA,/AIN/PRF_ELEMENTVAL_TAB,/AIN/PRF_ELEMENTVAL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_ELEMENTVAL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_ELEMENTVAL_TAB,
TTYP/DA,/AIN/PRF_ELEMENT_TAB,/AIN/PRF_ELEMENT_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_ELEMENT_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_ELEMENT_TAB,
TTYP/DA,/AIN/PRF_PROF_ESET_TAB,/AIN/PRF_PROF_ESET_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PROF_ESET_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PROF_ESET_TAB,
TTYP/DA,/AIN/PRF_PROF_FULL_TAB,/AIN/PRF_PROF_FULL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PROF_FULL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PROF_FULL_TAB,
TTYP/DA,/AIN/PRF_PROF_TAB,/AIN/PRF_PROF_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PROF_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PROF_TAB,
TTYP/DA,/AIN/PRF_PUB_ATTRVALUE_TAB,/AIN/PRF_PUB_ATTRVALUE_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PUB_ATTRVALUE_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PUB_ATTRVALUE_TAB,
TTYP/DA,/AIN/PRF_PUB_ELEMENTVAL_TAB,/AIN/PRF_PUB_ELEMENTVAL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PUB_ELEMENTVAL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PUB_ELEMENTVAL_TAB,
TTYP/DA,/AIN/PRF_PUB_ELEMVAL_TAB,/AIN/PRF_PUB_ELEMVAL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PUB_ELEMVAL_TAB,/sap/bc/adt/vit/wb/object_type/ttypda/object_name/%2fAIN%2fPRF_PUB_ELEMVAL_TAB,
TABL/DS,/AIN/PRF_ATTRVALUE_STR,/AIN/PRF_ATTRVALUE_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_attrvalue_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_ATTRVALUE_STR,
TABL/DS,/AIN/PRF_ELEMENTSET_STR,/AIN/PRF_ELEMENTSET_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_elementset_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_ELEMENTSET_STR,
TABL/DS,/AIN/PRF_ELEMENTVAL_STR,/AIN/PRF_ELEMENTVAL_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_elementval_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_ELEMENTVAL_STR,
TABL/DS,/AIN/PRF_ELEMENT_STR,/AIN/PRF_ELEMENT_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_element_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_ELEMENT_STR,
TABL/DS,/AIN/PRF_PRFTYPE_ELEMUSE,/AIN/PRF_PRFTYPE_ELEMUSE,/sap/bc/adt/ddic/structures/%2fain%2fprf_prftype_elemuse,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_PRFTYPE_ELEMUSE,
TABL/DS,/AIN/PRF_PROF_FULL_STR,/AIN/PRF_PROF_FULL_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_prof_full_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_PROF_FULL_STR,
TABL/DS,/AIN/PRF_PROF_STR,/AIN/PRF_PROF_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_prof_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_PROF_STR,
TABL/DS,/AIN/PRF_PUB_ATTRVALUE_STR,/AIN/PRF_PUB_ATTRVALUE_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_pub_attrvalue_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_PUB_ATTRVALUE_STR,
TABL/DS,/AIN/PRF_PUB_ELEMENTVAL_STR,/AIN/PRF_PUB_ELEMENTVAL_STR,/sap/bc/adt/ddic/structures/%2fain%2fprf_pub_elementval_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRF_PUB_ELEMENTVAL_STR,
